,cover,start,end ,back,dup
1,3,4,38,39,
2,40,41,59,60,
3,61,62,99,100,
4,100,101,124,125,
5,126,127,179,180,
6,181,182,208,209,
7,210,211,261,262,
8,263,264,304,305,
