URI,wareki,year
nij02-nijl_nijl_nijl_azumakagami_0000000651,治承四年八月二十六日,C.E. 1180-09-17
nij02-nijl_nijl_nijl_azumakagami_0000019979,建保四年八月十九日,C.E. 1216-10-02
nij02-nijl_nijl_nijl_azumakagami_0000003511,元暦二年正月二十六日,C.E. 1185-02-27
nij02-nijl_nijl_nijl_azumakagami_0000001288,治承四年十二月二十日,C.E. 1181-01-07
nij02-nijl_nijl_nijl_azumakagami_0000023856,文暦二年三月二十五日,C.E. 1235-04-14
nij02-nijl_nijl_nijl_azumakagami_0000035716,正嘉二年正月一日,C.E. 1258-02-05
nij02-nijl_nijl_nijl_azumakagami_0000013827,建久五年八月十八日,C.E. 1194-09-04
nij02-nijl_nijl_nijl_azumakagami_0000031440,建長三年五月十五日,C.E. 1251-06-05
nij02-nijl_nijl_nijl_azumakagami_0000011358,建久元年十一月二十二日,C.E. 1190-12-20
nij02-nijl_nijl_nijl_azumakagami_0000034646,建長八年八月十五日,C.E. 1256-09-05
nij02-nijl_nijl_nijl_azumakagami_0000034205,建長八年正月五日,C.E. 1256-02-02
nij02-nijl_nijl_nijl_azumakagami_0000029068,寛元四年十一月十四日,C.E. 1246-12-23
nij02-nijl_nijl_nijl_azumakagami_0000004646,文治元年十月二十二日,C.E. 1185-11-15
nij02-nijl_nijl_nijl_azumakagami_0000016944,元久二年正月一日,C.E. 1205-01-22
nij02-nijl_nijl_nijl_azumakagami_0000014025,建久五年十一月二十一日,C.E. 1195-01-04
nij02-nijl_nijl_nijl_azumakagami_0000041701,補遺・嘉禄三年六月十九日,
nij02-nijl_nijl_nijl_azumakagami_0000001718,養和元年七月二十日,C.E. 1181-08-31
nij02-nijl_nijl_nijl_azumakagami_0000016668,建仁三年十二月十三日,C.E. 1204-01-16
nij02-nijl_nijl_nijl_azumakagami_0000017256,元久三年正月十二日,C.E. 1206-02-21
nij02-nijl_nijl_nijl_azumakagami_0000032041,建長四年三月十九日,C.E. 1252-04-29
nij02-nijl_nijl_nijl_azumakagami_0000021774,貞応二年十二月二日／十二日条別巻／十三日条別巻,C.E. 1223-12-25
nij02-nijl_nijl_nijl_azumakagami_0000035225,正嘉元年八月十五日,C.E. 1257-09-24
nij02-nijl_nijl_nijl_azumakagami_0000017741,承元三年五月十二日,C.E. 1209-06-15
nij02-nijl_nijl_nijl_azumakagami_0000021071,承久三年六月六日,C.E. 1221-06-27
nij02-nijl_nijl_nijl_azumakagami_0000000425,治承四年八月十六日,C.E. 1180-09-07
nij02-nijl_nijl_nijl_azumakagami_0000026149,延応元年八月十日,C.E. 1239-09-09
nij02-nijl_nijl_nijl_azumakagami_0000000351,治承四年七月十日,C.E. 1180-08-02
nij02-nijl_nijl_nijl_azumakagami_0000032224,建長四年四月三日,C.E. 1252-05-12
nij02-nijl_nijl_nijl_azumakagami_0000011418,建久元年十二月一日,C.E. 1190-12-29
nij02-nijl_nijl_nijl_azumakagami_0000019033,建暦三年五月四日,C.E. 1213-05-25
nij02-nijl_nijl_nijl_azumakagami_0000038547,弘長元年九月四日,C.E. 1261-09-29
nij02-nijl_nijl_nijl_azumakagami_0000025324,嘉禎四年二月十七日,C.E. 1238-03-04
nij02-nijl_nijl_nijl_azumakagami_0000016799,元久元年五月八日,C.E. 1204-06-07
nij02-nijl_nijl_nijl_azumakagami_0000015640,正治二年九月二十五日,C.E. 1200-11-03
nij02-nijl_nijl_nijl_azumakagami_0000017792,承元三年十月十三日,C.E. 1209-11-11
nij02-nijl_nijl_nijl_azumakagami_0000030367,建長二年二月五日,C.E. 1250-03-09
nij02-nijl_nijl_nijl_azumakagami_0000026147,延応元年八月十日,C.E. 1239-09-09
nij02-nijl_nijl_nijl_azumakagami_0000012685,建久三年八月十六日,C.E. 1192-09-24
nij02-nijl_nijl_nijl_azumakagami_0000037379,文応元年八月十五日,C.E. 1260-09-21
nij02-nijl_nijl_nijl_azumakagami_0000017329,建永元年七月一日,C.E. 1206-08-06
nij02-nijl_nijl_nijl_azumakagami_0000037122,正元二年四月二日,C.E. 1260-05-13
nij02-nijl_nijl_nijl_azumakagami_0000042917,補遺・延応二年六月九日,
nij02-nijl_nijl_nijl_azumakagami_0000006153,文治二年六月十五日,C.E. 1186-07-03
nij02-nijl_nijl_nijl_azumakagami_0000042719,補遺・延応元年四月二十四日,
nij02-nijl_nijl_nijl_azumakagami_0000041966,補遺・安貞二年十月十九日,
nij02-nijl_nijl_nijl_azumakagami_0000020432,建保六年十月十九日,C.E. 1218-11-08
nij02-nijl_nijl_nijl_azumakagami_0000001208,治承四年十一月二十六日,C.E. 1180-12-14
nij02-nijl_nijl_nijl_azumakagami_0000032412,建長四年四月二十二日,C.E. 1252-05-31
nij02-nijl_nijl_nijl_azumakagami_0000039868,文永二年六月二十三日,C.E. 1265-08-05
nij02-nijl_nijl_nijl_azumakagami_0000002901,元暦元年五月三日,C.E. 1184-06-12
nij02-nijl_nijl_nijl_azumakagami_0000016526,建仁三年九月十五日,C.E. 1203-10-21
nij02-nijl_nijl_nijl_azumakagami_0000021279,承久三年六月十八日,C.E. 1221-07-09
nij02-nijl_nijl_nijl_azumakagami_0000035243,正嘉元年八月十五日,C.E. 1257-09-24
nij02-nijl_nijl_nijl_azumakagami_0000006469,文治二年九月五日,C.E. 1186-10-18
nij02-nijl_nijl_nijl_azumakagami_0000003788,元暦二年三月二十九日,C.E. 1185-04-30
nij02-nijl_nijl_nijl_azumakagami_0000016281,建仁三年四月三日,C.E. 1203-05-15
nij02-nijl_nijl_nijl_azumakagami_0000034542,建長八年七月十七日,C.E. 1256-08-08
nij02-nijl_nijl_nijl_azumakagami_0000040141,文永三年三月二十九日,C.E. 1266-05-05
nij02-nijl_nijl_nijl_azumakagami_0000025214,嘉禎四年正月二十日,C.E. 1238-02-06
nij02-nijl_nijl_nijl_azumakagami_0000005287,文治二年二月二日,C.E. 1186-02-22
nij02-nijl_nijl_nijl_azumakagami_0000041501,補遺・嘉禄三年三月一日,
nij02-nijl_nijl_nijl_azumakagami_0000001059,治承四年十月二十一日,C.E. 1180-11-10
nij02-nijl_nijl_nijl_azumakagami_0000033927,建長六年七月五日,C.E. 1254-08-19
nij02-nijl_nijl_nijl_azumakagami_0000039483,弘長三年八月二十五日,C.E. 1263-09-28
nij02-nijl_nijl_nijl_azumakagami_0000024146,文暦二年七月二十七日,C.E. 1235-09-11
nij02-nijl_nijl_nijl_azumakagami_0000041623,補遺・嘉禄三年四月二十九日,
nij02-nijl_nijl_nijl_azumakagami_0000018021,承元四年九月二十日,C.E. 1210-10-09
nij02-nijl_nijl_nijl_azumakagami_0000036631,正元二年巻頭,C.E. 1260-02-13
nij02-nijl_nijl_nijl_azumakagami_0000035671,正嘉二年十二月二十九日,C.E. 1259-01-24
nij02-nijl_nijl_nijl_azumakagami_0000029232,宝治元年五月十八日,C.E. 1247-06-22
nij02-nijl_nijl_nijl_azumakagami_0000027993,寛元二年六月一日,C.E. 1244-07-07
nij02-nijl_nijl_nijl_azumakagami_0000012656,建久三年八月九日,C.E. 1192-09-17
nij02-nijl_nijl_nijl_azumakagami_0000003731,元暦二年三月十三日,C.E. 1185-04-14
nij02-nijl_nijl_nijl_azumakagami_0000008342,文治四年十月四日,C.E. 1188-10-25
nij02-nijl_nijl_nijl_azumakagami_0000023614,文暦二年八月十八日,C.E. 1235-10-01
nij02-nijl_nijl_nijl_azumakagami_0000006922,文治三年四月二十三日,C.E. 1187-06-01
nij02-nijl_nijl_nijl_azumakagami_0000000757,治承四年九月八日,C.E. 1180-09-28
nij02-nijl_nijl_nijl_azumakagami_0000039836,文永二年六月三日,C.E. 1265-07-16
nij02-nijl_nijl_nijl_azumakagami_0000010464,建久元年五月三日,C.E. 1190-06-07
nij02-nijl_nijl_nijl_azumakagami_0000034447,建長八年六月二十九日,C.E. 1256-07-22
nij02-nijl_nijl_nijl_azumakagami_0000035239,正嘉元年八月十五日,C.E. 1257-09-24
nij02-nijl_nijl_nijl_azumakagami_0000031153,建長三年正月一日,C.E. 1251-01-24
nij02-nijl_nijl_nijl_azumakagami_0000026207,延応元年八月十六日,C.E. 1239-09-15
nij02-nijl_nijl_nijl_azumakagami_0000016036,建仁二年二月二十一日,C.E. 1202-03-16
nij02-nijl_nijl_nijl_azumakagami_0000001356,治承五年正月六日,C.E. 1181-01-22
nij02-nijl_nijl_nijl_azumakagami_0000009370,文治五年八月二十日,C.E. 1189-10-01
nij02-nijl_nijl_nijl_azumakagami_0000021848,貞応二年六月十二日,C.E. 1223-07-11
nij02-nijl_nijl_nijl_azumakagami_0000030008,宝治二年四月二十日,C.E. 1248-05-14
nij02-nijl_nijl_nijl_azumakagami_0000006362,文治二年閏七月二十六日,C.E. 1186-09-11
nij02-nijl_nijl_nijl_azumakagami_0000000920,治承四年十月六日,C.E. 1180-10-26
nij02-nijl_nijl_nijl_azumakagami_0000013365,建久四年八月九日,C.E. 1193-09-06
nij02-nijl_nijl_nijl_azumakagami_0000017852,承元三年十二月十一日,C.E. 1210-01-08
nij02-nijl_nijl_nijl_azumakagami_0000036314,正嘉二年六月四日,C.E. 1258-07-06
nij02-nijl_nijl_nijl_azumakagami_0000028975,寛元四年八月十五日,C.E. 1246-09-26
nij02-nijl_nijl_nijl_azumakagami_0000024029,文暦二年六月二十九日,C.E. 1235-07-15
nij02-nijl_nijl_nijl_azumakagami_0000013034,建久四年三月十三日,C.E. 1193-04-16
nij02-nijl_nijl_nijl_azumakagami_0000027396,寛元元年七月十八日,C.E. 1243-08-05
nij02-nijl_nijl_nijl_azumakagami_0000019254,建暦三年八月十四日,C.E. 1213-08-31
nij02-nijl_nijl_nijl_azumakagami_0000012847,建久三年十一月二十九日,C.E. 1193-01-04
nij02-nijl_nijl_nijl_azumakagami_0000032287,建長四年四月十四日,C.E. 1252-05-23
nij02-nijl_nijl_nijl_azumakagami_0000015482,正治二年閏二月十三日,C.E. 1200-03-29
nij02-nijl_nijl_nijl_azumakagami_0000016015,建仁二年正月十日,C.E. 1202-02-04
nij02-nijl_nijl_nijl_azumakagami_0000008336,文治四年十月四日,C.E. 1188-10-25
nij02-nijl_nijl_nijl_azumakagami_0000016689,建仁四年正月五日,C.E. 1204-02-07
nij02-nijl_nijl_nijl_azumakagami_0000034299,建長八年正月十三日,C.E. 1256-02-10
nij02-nijl_nijl_nijl_azumakagami_0000011128,建久元年十一月七日,C.E. 1190-12-05
nij02-nijl_nijl_nijl_azumakagami_0000008217,文治四年七月二十八日,C.E. 1188-08-22
nij02-nijl_nijl_nijl_azumakagami_0000038035,弘長元年二月二十九日,C.E. 1261-03-31
nij02-nijl_nijl_nijl_azumakagami_0000034982,康元二年二月二日,C.E. 1257-02-17
nij02-nijl_nijl_nijl_azumakagami_0000014309,建久六年三月十日,C.E. 1195-04-21
nij02-nijl_nijl_nijl_azumakagami_0000034848,康元元年十一月二十二日,C.E. 1256-12-10
nij02-nijl_nijl_nijl_azumakagami_0000031955,建長四年二月二十七日,C.E. 1252-04-07
nij02-nijl_nijl_nijl_azumakagami_0000035503,正嘉元年十月一日,C.E. 1257-11-08
nij02-nijl_nijl_nijl_azumakagami_0000001482,治承五年閏二月二十三日,C.E. 1181-04-08
nij02-nijl_nijl_nijl_azumakagami_0000023999,文暦二年六月二十九日,C.E. 1235-07-15
nij02-nijl_nijl_nijl_azumakagami_0000021693,承久三年十一月二十三日,C.E. 1222-01-06
nij02-nijl_nijl_nijl_azumakagami_0000020476,建保六年十二月五日,C.E. 1218-12-24
nij02-nijl_nijl_nijl_azumakagami_0000026124,延応元年七月二十五日,C.E. 1239-08-25
nij02-nijl_nijl_nijl_azumakagami_0000020348,建保六年七月八日,C.E. 1218-07-31
nij02-nijl_nijl_nijl_azumakagami_0000028335,寛元三年二月十六日,C.E. 1245-03-15
nij02-nijl_nijl_nijl_azumakagami_0000013249,建久四年六月一日,C.E. 1193-07-01
nij02-nijl_nijl_nijl_azumakagami_0000031676,建長三年八月二十一日,C.E. 1251-09-08
nij02-nijl_nijl_nijl_azumakagami_0000012454,建久三年四月二日,C.E. 1192-05-14
nij02-nijl_nijl_nijl_azumakagami_0000023554,文暦二年六月二十九日,C.E. 1235-07-15
nij02-nijl_nijl_nijl_azumakagami_0000015666,正治二年十月二十一日,C.E. 1200-11-29
nij02-nijl_nijl_nijl_azumakagami_0000005711,文治二年三月二十七日,C.E. 1186-04-18
nij02-nijl_nijl_nijl_azumakagami_0000031763,建長三年十月十九日,C.E. 1251-12-03
nij02-nijl_nijl_nijl_azumakagami_0000034145,建長八年正月一日,C.E. 1256-01-29
nij02-nijl_nijl_nijl_azumakagami_0000037511,文応元年十一月二十七日,C.E. 1260-12-30
nij02-nijl_nijl_nijl_azumakagami_0000025516,嘉禎四年二月二十八日,C.E. 1238-03-15
nij02-nijl_nijl_nijl_azumakagami_0000023245,貞永元年七月十一日,C.E. 1232-07-30
nij02-nijl_nijl_nijl_azumakagami_0000032090,建長四年四月一日,C.E. 1252-05-10
nij02-nijl_nijl_nijl_azumakagami_0000020802,承久二年五月七日,C.E. 1220-06-09
nij02-nijl_nijl_nijl_azumakagami_0000024844,嘉禎三年三月三十日,C.E. 1237-04-26
nij02-nijl_nijl_nijl_azumakagami_0000036926,正元二年二月二日,C.E. 1260-03-15
nij02-nijl_nijl_nijl_azumakagami_0000012551,建久三年六月二十八日,C.E. 1192-08-07
nij02-nijl_nijl_nijl_azumakagami_0000042158,補遺・寛喜二年七月十五日,
nij02-nijl_nijl_nijl_azumakagami_0000013826,建久五年八月十八日,C.E. 1194-09-04
nij02-nijl_nijl_nijl_azumakagami_0000028575,寛元三年八月十六日,C.E. 1245-09-08
nij02-nijl_nijl_nijl_azumakagami_0000009619,文治五年九月十七日,C.E. 1189-10-28
nij02-nijl_nijl_nijl_azumakagami_0000015901,建仁元年九月十一日,C.E. 1201-10-09
nij02-nijl_nijl_nijl_azumakagami_0000042898,補遺・延応二年五月十四日,
nij02-nijl_nijl_nijl_azumakagami_0000001892,養和二年正月三日,C.E. 1182-02-07
nij02-nijl_nijl_nijl_azumakagami_0000006701,文治三年巻頭,C.E. 1187-02-10
nij02-nijl_nijl_nijl_azumakagami_0000000186,治承四年袖書,C.E. 1180-01-29
nij02-nijl_nijl_nijl_azumakagami_0000010581,建久元年六月二十九日,C.E. 1190-08-02
nij02-nijl_nijl_nijl_azumakagami_0000042185,補遺・寛喜二年十一月七日,
nij02-nijl_nijl_nijl_azumakagami_0000032804,建長四年九月十六日,C.E. 1252-10-20
nij02-nijl_nijl_nijl_azumakagami_0000001862,養和元年十一月五日,C.E. 1181-12-12
nij02-nijl_nijl_nijl_azumakagami_0000004261,元暦二年六月十六日,C.E. 1185-07-14
nij02-nijl_nijl_nijl_azumakagami_0000019710,建保三年八月十日,C.E. 1215-09-05
nij02-nijl_nijl_nijl_azumakagami_0000016653,建仁三年十一月十九日,C.E. 1203-12-23
nij02-nijl_nijl_nijl_azumakagami_0000037881,文応二年正月十日,C.E. 1261-02-10
nij02-nijl_nijl_nijl_azumakagami_0000009466,文治五年九月七日,C.E. 1189-10-18
nij02-nijl_nijl_nijl_azumakagami_0000025481,嘉禎四年二月二十三日,C.E. 1238-03-10
nij02-nijl_nijl_nijl_azumakagami_0000018554,建暦二年十一月十四日,C.E. 1212-12-08
nij02-nijl_nijl_nijl_azumakagami_0000039640,弘長三年十二月二十四日,C.E. 1264-01-24
nij02-nijl_nijl_nijl_azumakagami_0000019222,建暦三年七月九日,C.E. 1213-07-28
nij02-nijl_nijl_nijl_azumakagami_0000024272,嘉禎元年十二月十八日,C.E. 1236-01-27
nij02-nijl_nijl_nijl_azumakagami_0000012098,建久二年九月二十一日,C.E. 1191-10-11
nij02-nijl_nijl_nijl_azumakagami_0000017875,承元三年十二月十五日,C.E. 1210-01-12
nij02-nijl_nijl_nijl_azumakagami_0000030202,宝治二年十二月十日,C.E. 1248-12-26
nij02-nijl_nijl_nijl_azumakagami_0000003237,元暦元年十一月二十三日,C.E. 1184-12-27
nij02-nijl_nijl_nijl_azumakagami_0000041035,補遺・嘉禄元年十月二十八日,
nij02-nijl_nijl_nijl_azumakagami_0000001160,治承四年十一月八日,C.E. 1180-11-26
nij02-nijl_nijl_nijl_azumakagami_0000042688,補遺・延応元年四月十四日,
nij02-nijl_nijl_nijl_azumakagami_0000010694,建久元年八月十七日,C.E. 1190-09-18
nij02-nijl_nijl_nijl_azumakagami_0000042109,補遺・寛喜二年閏正月十九日,
nij02-nijl_nijl_nijl_azumakagami_0000038111,弘長元年四月二十三日,C.E. 1261-05-23
nij02-nijl_nijl_nijl_azumakagami_0000032178,建長四年四月三日,C.E. 1252-05-12
nij02-nijl_nijl_nijl_azumakagami_0000001025,治承四年十月十九日,C.E. 1180-11-08
nij02-nijl_nijl_nijl_azumakagami_0000029241,宝治元年五月二十七日,C.E. 1247-07-01
nij02-nijl_nijl_nijl_azumakagami_0000018833,建暦三年四月二十八日,C.E. 1213-05-20
nij02-nijl_nijl_nijl_azumakagami_0000017869,承元三年十二月十五日,C.E. 1210-01-12
nij02-nijl_nijl_nijl_azumakagami_0000013350,建久四年八月二日,C.E. 1193-08-30
nij02-nijl_nijl_nijl_azumakagami_0000016233,建仁三年正月二日,C.E. 1203-02-15
nij02-nijl_nijl_nijl_azumakagami_0000001566,治承五年三月七日,C.E. 1181-04-22
nij02-nijl_nijl_nijl_azumakagami_0000037828,文応二年正月七日,C.E. 1261-02-07
nij02-nijl_nijl_nijl_azumakagami_0000023974,文暦二年六月二十九日,C.E. 1235-07-15
nij02-nijl_nijl_nijl_azumakagami_0000021102,承久三年六月八日,C.E. 1221-06-29
nij02-nijl_nijl_nijl_azumakagami_0000042644,補遺・嘉禎二年十月二十九日,
nij02-nijl_nijl_nijl_azumakagami_0000012430,建久三年三月十六日,C.E. 1192-04-29
nij02-nijl_nijl_nijl_azumakagami_0000005872,文治二年四月三十日,C.E. 1186-05-20
nij02-nijl_nijl_nijl_azumakagami_0000039580,弘長三年十一月二十日,C.E. 1263-12-22
nij02-nijl_nijl_nijl_azumakagami_0000024541,嘉禎二年七月十七日,C.E. 1236-08-20
nij02-nijl_nijl_nijl_azumakagami_0000016798,元久元年五月八日,C.E. 1204-06-07
nij02-nijl_nijl_nijl_azumakagami_0000015255,正治二年正月二日,C.E. 1200-01-19
nij02-nijl_nijl_nijl_azumakagami_0000039353,弘長三年八月九日,C.E. 1263-09-12
nij02-nijl_nijl_nijl_azumakagami_0000021788,貞応二年二月二十七日,C.E. 1223-03-30
nij02-nijl_nijl_nijl_azumakagami_0000031540,建長三年七月四日,C.E. 1251-07-23
nij02-nijl_nijl_nijl_azumakagami_0000041329,補遺・嘉禄二年八月七日,
nij02-nijl_nijl_nijl_azumakagami_0000014297,建久六年三月十日,C.E. 1195-04-21
nij02-nijl_nijl_nijl_azumakagami_0000029710,宝治元年八月五日,C.E. 1247-09-05
nij02-nijl_nijl_nijl_azumakagami_0000030513,建長二年三月一日,C.E. 1250-04-04
nij02-nijl_nijl_nijl_azumakagami_0000037930,文応二年二月七日,C.E. 1261-03-09
nij02-nijl_nijl_nijl_azumakagami_0000029508,宝治元年六月十二日,C.E. 1247-07-15
nij02-nijl_nijl_nijl_azumakagami_0000008687,文治五年三月二十日,C.E. 1189-04-07
nij02-nijl_nijl_nijl_azumakagami_0000004668,文治元年十月二十四日,C.E. 1185-11-17
nij02-nijl_nijl_nijl_azumakagami_0000025655,嘉禎四年五月十一日,C.E. 1238-06-24
nij02-nijl_nijl_nijl_azumakagami_0000009982,文治六年十二月二十八日,C.E. 1191-01-25
nij02-nijl_nijl_nijl_azumakagami_0000014773,建久六年九月十八日,C.E. 1195-10-22
nij02-nijl_nijl_nijl_azumakagami_0000031127,建長三年十二月二十九日,C.E. 1252-02-10
nij02-nijl_nijl_nijl_azumakagami_0000000855,治承四年九月二十二日,C.E. 1180-10-12
nij02-nijl_nijl_nijl_azumakagami_0000037140,正元二年四月三日,C.E. 1260-05-14
nij02-nijl_nijl_nijl_azumakagami_0000035763,正嘉二年正月一日,C.E. 1258-02-05
nij02-nijl_nijl_nijl_azumakagami_0000007951,文治四年四月十二日,C.E. 1188-05-10
nij02-nijl_nijl_nijl_azumakagami_0000031828,建長三年十一月十八日,C.E. 1251-12-31
nij02-nijl_nijl_nijl_azumakagami_0000037944,文応二年二月七日,C.E. 1261-03-09
nij02-nijl_nijl_nijl_azumakagami_0000031451,建長三年五月十五日,C.E. 1251-06-05
nij02-nijl_nijl_nijl_azumakagami_0000037915,文応二年正月二十六日,C.E. 1261-02-26
nij02-nijl_nijl_nijl_azumakagami_0000003248,元暦元年十一月二十三日,C.E. 1184-12-27
nij02-nijl_nijl_nijl_azumakagami_0000042754,補遺・延応元年五月四日,
nij02-nijl_nijl_nijl_azumakagami_0000024322,嘉禎元年十二月二十七日,C.E. 1236-02-05
nij02-nijl_nijl_nijl_azumakagami_0000034813,建長八年九月二十八日,C.E. 1256-10-17
nij02-nijl_nijl_nijl_azumakagami_0000029529,宝治元年六月十四日,C.E. 1247-07-17
nij02-nijl_nijl_nijl_azumakagami_0000016189,建仁二年九月二十一日,C.E. 1202-10-08
nij02-nijl_nijl_nijl_azumakagami_0000038582,弘長元年九月二十日,C.E. 1261-10-15
nij02-nijl_nijl_nijl_azumakagami_0000027200,仁治四年正月十日,C.E. 1243-01-31
nij02-nijl_nijl_nijl_azumakagami_0000005816,文治二年四月十三日,C.E. 1186-05-03
nij02-nijl_nijl_nijl_azumakagami_0000004514,文治元年九月四日,C.E. 1185-09-29
nij02-nijl_nijl_nijl_azumakagami_0000011209,建久元年十一月七日,C.E. 1190-12-05
nij02-nijl_nijl_nijl_azumakagami_0000029498,宝治元年六月十一日,C.E. 1247-07-14
nij02-nijl_nijl_nijl_azumakagami_0000013706,建久五年五月二十九日,C.E. 1194-06-19
nij02-nijl_nijl_nijl_azumakagami_0000004356,元暦二年七月十九日,C.E. 1185-08-16
nij02-nijl_nijl_nijl_azumakagami_0000009919,文治五年十一月二十三日,C.E. 1190-01-01
nij02-nijl_nijl_nijl_azumakagami_0000036093,正嘉二年三月一日,C.E. 1258-04-06
nij02-nijl_nijl_nijl_azumakagami_0000003125,元暦元年九月九日,C.E. 1184-10-15
nij02-nijl_nijl_nijl_azumakagami_0000030417,建長二年三月一日,C.E. 1250-04-04
nij02-nijl_nijl_nijl_azumakagami_0000031418,建長三年四月二十二日,C.E. 1251-05-14
nij02-nijl_nijl_nijl_azumakagami_0000011176,建久元年十一月七日,C.E. 1190-12-05
nij02-nijl_nijl_nijl_azumakagami_0000016886,元久元年十月十四日,C.E. 1204-11-07
nij02-nijl_nijl_nijl_azumakagami_0000031065,建長二年十二月二十七日,C.E. 1251-01-20
nij02-nijl_nijl_nijl_azumakagami_0000007967,文治四年四月十二日,C.E. 1188-05-10
nij02-nijl_nijl_nijl_azumakagami_0000014062,建久五年十二月十日,C.E. 1195-01-22
nij02-nijl_nijl_nijl_azumakagami_0000017129,元久二年閏七月二十六日,C.E. 1205-09-11
nij02-nijl_nijl_nijl_azumakagami_0000032918,建長四年十一月十一日,C.E. 1252-12-13
nij02-nijl_nijl_nijl_azumakagami_0000030669,建長二年三月三日,C.E. 1250-04-06
nij02-nijl_nijl_nijl_azumakagami_0000035299,正嘉元年八月二十五日,C.E. 1257-10-04
nij02-nijl_nijl_nijl_azumakagami_0000031252,建長三年正月八日,C.E. 1251-01-31
nij02-nijl_nijl_nijl_azumakagami_0000007051,文治三年五月二十日,C.E. 1187-06-28
nij02-nijl_nijl_nijl_azumakagami_0000015594,正治二年八月一日,C.E. 1200-09-10
nij02-nijl_nijl_nijl_azumakagami_0000025102,嘉禎三年九月十五日,C.E. 1237-10-05
nij02-nijl_nijl_nijl_azumakagami_0000038571,弘長元年九月二十日,C.E. 1261-10-15
nij02-nijl_nijl_nijl_azumakagami_0000029298,宝治元年六月二日,C.E. 1247-07-05
nij02-nijl_nijl_nijl_azumakagami_0000000537,治承四年八月二十日,C.E. 1180-09-11
nij02-nijl_nijl_nijl_azumakagami_0000004491,文治元年九月一日,C.E. 1185-09-26
nij02-nijl_nijl_nijl_azumakagami_0000022880,寛喜三年十二月二十五日,C.E. 1232-01-18
nij02-nijl_nijl_nijl_azumakagami_0000034887,康元元年十二月二十日,C.E. 1257-01-07
nij02-nijl_nijl_nijl_azumakagami_0000031991,建長四年袖書,C.E. 1252-02-12
nij02-nijl_nijl_nijl_azumakagami_0000015724,正治三年正月四日,C.E. 1201-02-08
nij02-nijl_nijl_nijl_azumakagami_0000039170,弘長三年八月四日,C.E. 1263-09-07
nij02-nijl_nijl_nijl_azumakagami_0000040187,文永三年五月二十四日,C.E. 1266-06-28
nij02-nijl_nijl_nijl_azumakagami_0000025421,嘉禎四年二月十七日,C.E. 1238-03-04
nij02-nijl_nijl_nijl_azumakagami_0000009688,文治五年九月十八日／十九日条別巻,C.E. 1189-10-29
nij02-nijl_nijl_nijl_azumakagami_0000041976,補遺・安貞二年十月三十日,
nij02-nijl_nijl_nijl_azumakagami_0000024348,嘉禎二年正月一日,C.E. 1236-02-09
nij02-nijl_nijl_nijl_azumakagami_0000024436,嘉禎二年三月二十一日,C.E. 1236-04-28
nij02-nijl_nijl_nijl_azumakagami_0000036071,正嘉二年三月一日,C.E. 1258-04-06
nij02-nijl_nijl_nijl_azumakagami_0000025275,嘉禎四年二月十六日,C.E. 1238-03-03
nij02-nijl_nijl_nijl_azumakagami_0000029947,宝治二年正月七日,C.E. 1248-02-03
nij02-nijl_nijl_nijl_azumakagami_0000025617,嘉禎四年四月二日,C.E. 1238-05-17
nij02-nijl_nijl_nijl_azumakagami_0000026685,仁治二年二月十日,C.E. 1241-03-23
nij02-nijl_nijl_nijl_azumakagami_0000039685,文永二年正月五日,C.E. 1265-01-23
nij02-nijl_nijl_nijl_azumakagami_0000040595,補遺・貞応二年十二月十三日,
nij02-nijl_nijl_nijl_azumakagami_0000031826,建長三年十一月十五日,C.E. 1251-12-28
nij02-nijl_nijl_nijl_azumakagami_0000027428,寛元元年八月十六日,C.E. 1243-09-30
nij02-nijl_nijl_nijl_azumakagami_0000024135,文暦二年七月二十四日,C.E. 1235-09-08
nij02-nijl_nijl_nijl_azumakagami_0000032194,建長四年四月三日,C.E. 1252-05-12
nij02-nijl_nijl_nijl_azumakagami_0000020000,建保四年九月二十日,C.E. 1216-11-01
nij02-nijl_nijl_nijl_azumakagami_0000020271,建保六年六月二十一日,C.E. 1218-07-15
nij02-nijl_nijl_nijl_azumakagami_0000016151,建仁二年八月二十四日,C.E. 1202-09-11
nij02-nijl_nijl_nijl_azumakagami_0000036933,正元二年二月五日,C.E. 1260-03-18
nij02-nijl_nijl_nijl_azumakagami_0000001649,治承五年五月十六日,C.E. 1181-06-29
nij02-nijl_nijl_nijl_azumakagami_0000002404,寿永三年二月二日,C.E. 1184-03-15
nij02-nijl_nijl_nijl_azumakagami_0000017660,承元二年十一月七日,C.E. 1208-12-16
nij02-nijl_nijl_nijl_azumakagami_0000004935,文治元年十一月二十六日,C.E. 1185-12-19
nij02-nijl_nijl_nijl_azumakagami_0000003164,元暦元年九月二十日,C.E. 1184-10-26
nij02-nijl_nijl_nijl_azumakagami_0000035314,正嘉元年九月十六日,C.E. 1257-10-24
nij02-nijl_nijl_nijl_azumakagami_0000026635,仁治二年正月十九日,C.E. 1241-03-03
nij02-nijl_nijl_nijl_azumakagami_0000015820,建仁元年五月十四日,C.E. 1201-06-16
nij02-nijl_nijl_nijl_azumakagami_0000004542,文治元年十月三日,C.E. 1185-10-27
nij02-nijl_nijl_nijl_azumakagami_0000020835,承久二年十月十一日,C.E. 1220-11-07
nij02-nijl_nijl_nijl_azumakagami_0000017112,元久二年閏七月十九日,C.E. 1205-09-04
