URI,wareki,year
nij02-nijl_nijl_nijl_azumakagami_0000020490,建保七年十二月二十六日,C.E. 1220-02-02
nij02-nijl_nijl_nijl_azumakagami_0000011623,建久二年正月二十八日,C.E. 1191-02-23
nij02-nijl_nijl_nijl_azumakagami_0000012247,建久二年十一月二十七日,C.E. 1191-12-15
nij02-nijl_nijl_nijl_azumakagami_0000005765,文治二年四月四日,C.E. 1186-04-24
nij02-nijl_nijl_nijl_azumakagami_0000036536,正嘉二年八月十六日,C.E. 1258-09-14
nij02-nijl_nijl_nijl_azumakagami_0000010418,建久元年四月十九日,C.E. 1190-05-24
nij02-nijl_nijl_nijl_azumakagami_0000028528,寛元三年八月十五日,C.E. 1245-09-07
nij02-nijl_nijl_nijl_azumakagami_0000018399,建暦二年四月六日,C.E. 1212-05-08
nij02-nijl_nijl_nijl_azumakagami_0000004788,文治元年十月二十九日,C.E. 1185-11-22
nij02-nijl_nijl_nijl_azumakagami_0000038398,弘長元年八月五日,C.E. 1261-09-01
nij02-nijl_nijl_nijl_azumakagami_0000026804,仁治二年五月十日,C.E. 1241-06-20
nij02-nijl_nijl_nijl_azumakagami_0000018088,承元五年正月十日,C.E. 1211-01-26
nij02-nijl_nijl_nijl_azumakagami_0000000520,治承四年八月二十日,C.E. 1180-09-11
nij02-nijl_nijl_nijl_azumakagami_0000031209,建長三年正月四日,C.E. 1251-01-27
nij02-nijl_nijl_nijl_azumakagami_0000020652,建保七年閏二月十二日／十四日条別巻／二十八日条別巻／二十九日条別巻／三月一日条別巻／三月八日条別巻,C.E. 1219-03-29
nij02-nijl_nijl_nijl_azumakagami_0000034497,建長八年六月二十九日,C.E. 1256-07-22
nij02-nijl_nijl_nijl_azumakagami_0000026414,延応二年三月六日,C.E. 1240-03-30
nij02-nijl_nijl_nijl_azumakagami_0000020529,建保七年正月二十七日,C.E. 1219-02-13
nij02-nijl_nijl_nijl_azumakagami_0000028313,寛元三年二月五日,C.E. 1245-03-04
nij02-nijl_nijl_nijl_azumakagami_0000025077,嘉禎三年八月十三日,C.E. 1237-09-03
nij02-nijl_nijl_nijl_azumakagami_0000040023,文永三年正月二日,C.E. 1266-02-08
nij02-nijl_nijl_nijl_azumakagami_0000025427,嘉禎四年二月十七日,C.E. 1238-03-04
nij02-nijl_nijl_nijl_azumakagami_0000022805,寛喜二年六月十六日,C.E. 1230-07-27
nij02-nijl_nijl_nijl_azumakagami_0000029348,宝治元年六月五日,C.E. 1247-07-08
nij02-nijl_nijl_nijl_azumakagami_0000035547,正嘉元年十一月二十三日,C.E. 1257-12-30
nij02-nijl_nijl_nijl_azumakagami_0000035346,正嘉元年九月三十日,C.E. 1257-11-07
nij02-nijl_nijl_nijl_azumakagami_0000036108,正嘉二年三月一日,C.E. 1258-04-06
nij02-nijl_nijl_nijl_azumakagami_0000011707,建久二年二月二十一日,C.E. 1191-03-18
nij02-nijl_nijl_nijl_azumakagami_0000019704,建保三年七月六日,C.E. 1215-08-02
nij02-nijl_nijl_nijl_azumakagami_0000022005,貞応三年六月十一日,C.E. 1224-06-29
nij02-nijl_nijl_nijl_azumakagami_0000031823,建長三年十一月十三日,C.E. 1251-12-26
nij02-nijl_nijl_nijl_azumakagami_0000014364,建久六年三月十二日,C.E. 1195-04-23
nij02-nijl_nijl_nijl_azumakagami_0000026212,延応元年九月十一日,C.E. 1239-10-09
nij02-nijl_nijl_nijl_azumakagami_0000015624,正治二年九月二日,C.E. 1200-10-11
nij02-nijl_nijl_nijl_azumakagami_0000017784,承元三年九月二十九日,C.E. 1209-10-29
nij02-nijl_nijl_nijl_azumakagami_0000029046,寛元四年十月十三日,C.E. 1246-11-22
nij02-nijl_nijl_nijl_azumakagami_0000031645,建長三年八月十五日,C.E. 1251-09-02
nij02-nijl_nijl_nijl_azumakagami_0000038086,弘長元年三月二十日,C.E. 1261-04-21
nij02-nijl_nijl_nijl_azumakagami_0000032514,建長四年六月十日,C.E. 1252-07-17
nij02-nijl_nijl_nijl_azumakagami_0000001680,治承五年六月十九日,C.E. 1181-08-01
nij02-nijl_nijl_nijl_azumakagami_0000040111,文永三年三月六日,C.E. 1266-04-12
nij02-nijl_nijl_nijl_azumakagami_0000008053,文治四年六月四日,C.E. 1188-06-29
nij02-nijl_nijl_nijl_azumakagami_0000033017,建長四年十一月二十一日,C.E. 1252-12-23
nij02-nijl_nijl_nijl_azumakagami_0000009071,文治五年七月十七日,C.E. 1189-08-30
nij02-nijl_nijl_nijl_azumakagami_0000000006,序小見出名なし,
nij02-nijl_nijl_nijl_azumakagami_0000038273,弘長元年七月二日,C.E. 1261-07-30
nij02-nijl_nijl_nijl_azumakagami_0000024420,嘉禎二年三月十三日,C.E. 1236-04-20
nij02-nijl_nijl_nijl_azumakagami_0000031831,建長三年十一月二十七日,C.E. 1252-01-09
nij02-nijl_nijl_nijl_azumakagami_0000003108,元暦元年八月二十日,C.E. 1184-09-26
nij02-nijl_nijl_nijl_azumakagami_0000033358,建長五年五月十三日,C.E. 1253-06-10
nij02-nijl_nijl_nijl_azumakagami_0000037141,正元二年四月三日,C.E. 1260-05-14
nij02-nijl_nijl_nijl_azumakagami_0000036670,正元二年正月一日,C.E. 1260-02-13
nij02-nijl_nijl_nijl_azumakagami_0000029518,宝治元年六月十四日,C.E. 1247-07-17
nij02-nijl_nijl_nijl_azumakagami_0000027267,寛元元年四月二十日,C.E. 1243-05-10
nij02-nijl_nijl_nijl_azumakagami_0000022594,寛喜元年九月十七日,C.E. 1229-10-05
nij02-nijl_nijl_nijl_azumakagami_0000018428,建暦二年六月十五日,C.E. 1212-07-14
nij02-nijl_nijl_nijl_azumakagami_0000038219,弘長元年六月十六日,C.E. 1261-07-14
nij02-nijl_nijl_nijl_azumakagami_0000026330,延応二年正月二日,C.E. 1240-01-27
nij02-nijl_nijl_nijl_azumakagami_0000000203,治承四年袖書,C.E. 1180-01-29
nij02-nijl_nijl_nijl_azumakagami_0000042050,補遺・寛喜元年六月二十九日,
nij02-nijl_nijl_nijl_azumakagami_0000004086,元暦二年五月十二日,C.E. 1185-06-11
nij02-nijl_nijl_nijl_azumakagami_0000012719,建久三年九月十二日,C.E. 1192-10-19
nij02-nijl_nijl_nijl_azumakagami_0000007646,文治三年十二月七日,C.E. 1188-01-07
nij02-nijl_nijl_nijl_azumakagami_0000027782,寛元二年六月三日,C.E. 1244-07-09
nij02-nijl_nijl_nijl_azumakagami_0000024560,嘉禎二年八月四日,C.E. 1236-09-05
nij02-nijl_nijl_nijl_azumakagami_0000009324,文治五年八月十二日,C.E. 1189-09-23
nij02-nijl_nijl_nijl_azumakagami_0000021266,承久三年六月十七日,C.E. 1221-07-08
nij02-nijl_nijl_nijl_azumakagami_0000019593,建保二年七月二十七日,C.E. 1214-09-03
nij02-nijl_nijl_nijl_azumakagami_0000034660,建長八年八月十五日,C.E. 1256-09-05
nij02-nijl_nijl_nijl_azumakagami_0000025700,嘉禎四年六月五日,C.E. 1238-07-17
nij02-nijl_nijl_nijl_azumakagami_0000039480,弘長三年八月二十五日,C.E. 1263-09-28
nij02-nijl_nijl_nijl_azumakagami_0000013227,建久四年五月二十九日,C.E. 1193-06-29
nij02-nijl_nijl_nijl_azumakagami_0000019953,建保四年七月二十九日,C.E. 1216-09-12
nij02-nijl_nijl_nijl_azumakagami_0000009609,文治五年九月十七日,C.E. 1189-10-28
nij02-nijl_nijl_nijl_azumakagami_0000042795,補遺・延応元年七月十五日,
nij02-nijl_nijl_nijl_azumakagami_0000009975,文治五年十二月二十六日,C.E. 1190-02-02
